Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
Arts,Arts;Licence AES;1;1.0;0
Arts,Arts;Licence Chimie;0;0.0;0
Arts,Arts;Licence Formation générale aux métiers de l'ingénieur;0;0.0;0
Arts,Arts;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
Arts,Arts;Licence Sciences de gestion;0;0.0;0
Arts,Arts;Licence Sciences de l'information et de la communication;0;0.0;0
Arts,Arts;Licence Sciences de l'univers, de la terre, de l'espace;0;0.0;0
Arts,Arts;Licence Sciences juridiques;0;0.0;0
Arts,Arts;Licence Las;0;0.0;0
Arts,Arts;BUT Service;0;0.0;0
Arts,Arts;BTS production;0;0.0;0
Arts,Arts;CPGE ECG;0;0.0;0
Arts,Arts;Ensemble des candidats bacheliers;1;1.0;1
Arts,Humanités, Littérature et Philosophie;Licence Chimie;2;1.0;1
Arts,Humanités, Littérature et Philosophie;Licence Electronique, Génie électrique, EEA;0;0.0;0
Arts,Humanités, Littérature et Philosophie;Licence Géographie;50;20.0;3
Arts,Humanités, Littérature et Philosophie;Licence LEA;190;127.0;25
Arts,Humanités, Littérature et Philosophie;Licence Langues et littératures françaises;913;789.0;207
Arts,Humanités, Littérature et Philosophie;Licence Mathématiques et informatique;1;0.0;0
Arts,Humanités, Littérature et Philosophie;Licence Pluri Sciences économiques - Gestion;30;11.0;0
Arts,Humanités, Littérature et Philosophie;Licence STAPS;77;35.0;16
Arts,Humanités, Littérature et Philosophie;Licence Sciences de la vie, biologie, santé;3;0.0;0
Arts,Humanités, Littérature et Philosophie;Licence Sciences et technologies industrielles;9;9.0;4
Arts,Humanités, Littérature et Philosophie;CPGE S;37;12.0;4
Arts,Humanités, Littérature et Philosophie;DEUST;59;27.0;15
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence AES;61;34.0;7
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence LEA;145;103.0;34
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Philosophie, Epistémologie;91;68.0;12
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Sciences juridiques;542;393.0;217
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;BTS agricole;41;25.0;12
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;D.E social;29;6.0;6
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Sciences Po;155;10.0;10
Arts,Littératures, langues et culture de l'antiquité;Licence Chimie;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Electronique, Génie électrique, EEA;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Histoire;7;6.0;3
Arts,Littératures, langues et culture de l'antiquité;Licence Informatique;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence LEA;3;3.0;3
Arts,Littératures, langues et culture de l'antiquité;Licence Langues et littératures françaises;4;3.0;1
Arts,Littératures, langues et culture de l'antiquité;Licence MASS;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Sciences du langage - Linguistique;2;2.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Sciences juridiques;1;1.0;0
Arts,Littératures, langues et culture de l'antiquité;BTS service;3;1.0;0
Arts,Littératures, langues et culture de l'antiquité;CPGE ECG;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;DEUST;0;0.0;0
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Chimie;0;0.0;0
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Génie civil;0;0.0;0
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Histoire;790;669.0;196
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Langues et littératures étrangères;2744;2340.0;956
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Mathématiques et informatique;0;0.0;0
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Physique et chimie;1;1.0;0
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Lettres - Langues - Sciences humaines;219;151.0;29
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Lettres - Sciences du langage - Arts;24;20.0;1
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences de l'information et de la communication;390;194.0;64
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences juridiques;437;310.0;146
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences politiques;42;8.0;1
Arts,Langues, Littératures et Cultures Etrangères et Régionales;BUT Service;434;109.0;49
Arts,Mathématiques;Licence Histoire;245;218.0;56
Arts,Mathématiques;Licence LEA;78;65.0;20
Arts,Mathématiques;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;12;5.0;1
Arts,Mathématiques;Licence Pluri Sciences humaines et sociales;1;1.0;0
Arts,Mathématiques;Licence Sciences de gestion;20;13.0;3
Arts,Mathématiques;Licence Sciences de l'information et de la communication;63;33.0;4
Arts,Mathématiques;Licence Sciences du langage - Linguistique;18;13.0;1
Arts,Mathématiques;BTS service;332;140.0;56
Arts,Mathématiques;CPGE L;59;44.0;16
Arts,Mathématiques;Ecoles de Commerce;20;15.0;11
Arts,Mathématiques;D.E social;10;6.0;3
Arts,Mathématiques;Formations d'ART;637;281.0;161
Arts,Mathématiques;CUPGE;1;1.0;1
Arts,Mathématiques;Formations des écoles nationales vétérinaires;1;0.0;0
Arts,Mathématiques;Ensemble des candidats bacheliers;1516;1365.0;1043
Arts,Numérique et Sciences Informatiques;Licence AES;3;2.0;0
Arts,Numérique et Sciences Informatiques;Licence Archéologie, Ethno, Préhistoire, Anthropologie;0;0.0;0
Arts,Numérique et Sciences Informatiques;Licence MASS;4;2.0;1
Arts,Numérique et Sciences Informatiques;Licence Pluri Lettres - Sciences du langage - Arts;2;1.0;0
Arts,Numérique et Sciences Informatiques;Licence Pluri Sciences;1;0.0;0
Arts,Numérique et Sciences Informatiques;Licence Psychlogie, Sciences cognitives;15;6.0;2
Arts,Numérique et Sciences Informatiques;Licence Sciences du langage - Linguistique;5;5.0;0
Arts,Numérique et Sciences Informatiques;Licence Sciences économiques;4;0.0;0
Arts,Numérique et Sciences Informatiques;Licence Las;22;9.0;2
Arts,Numérique et Sciences Informatiques;BTS production;38;17.0;6
Arts,Numérique et Sciences Informatiques;BTS service;117;48.0;16
Arts,Numérique et Sciences Informatiques;CPGE S;10;2.0;0
Arts,Numérique et Sciences Informatiques;D.E social;1;0.0;0
Arts,Numérique et Sciences Informatiques;DEUST;3;2.0;1
Arts,Numérique et Sciences Informatiques;Ensemble des candidats bacheliers;367;296.0;218
Arts,Physique-Chimie;Licence AES;5;4.0;1
Arts,Physique-Chimie;Licence Arts;285;237.0;99
Arts,Physique-Chimie;Licence LEA;28;25.0;4
Arts,Physique-Chimie;Licence MASS;6;3.0;1
Arts,Physique-Chimie;Licence Pluri Lettres - Sciences du langage - Arts;2;1.0;0
Arts,Physique-Chimie;Licence Pluri Sciences économiques - Gestion;9;7.0;1
Arts,Physique-Chimie;Licence Sciences de gestion;1;1.0;0
Arts,Physique-Chimie;Licence Sciences économiques;3;2.0;0
Arts,Physique-Chimie;PASS;16;5.0;1
Arts,Physique-Chimie;BTS production;38;19.0;4
Arts,Physique-Chimie;CPGE L;22;19.0;7
Arts,Physique-Chimie;Autres formations;135;47.0;27
Arts,Physique-Chimie;CUPGE;3;1.0;0
Arts,Physique-Chimie;Formations des écoles nationales vétérinaires;1;0.0;0
Arts,Sciences économiques et sociales;Licence Formation générale aux métiers de l'ingénieur;1;0.0;0
Arts,Sciences économiques et sociales;Licence Génie civil;0;0.0;0
Arts,Sciences économiques et sociales;Licence Informatique;7;5.0;2
Arts,Sciences économiques et sociales;Licence Langues et littératures françaises;103;84.0;18
Arts,Sciences économiques et sociales;Licence Mathématiques et informatique;0;0.0;0
Arts,Sciences économiques et sociales;Licence Philosophie, Epistémologie;49;35.0;3
Arts,Sciences économiques et sociales;Licence Physique et chimie;0;0.0;0
Arts,Sciences économiques et sociales;Licence Pluri Sciences humaines et sociales;8;1.0;0
Arts,Sciences économiques et sociales;Licence Sciences et technologies industrielles;7;3.0;2
Arts,Sciences économiques et sociales;BTS production;102;34.0;13
Arts,Sciences économiques et sociales;Ecoles de Commerce;65;50.0;37
Arts,Sciences économiques et sociales;Autres formations;290;112.0;62
Arts,Sciences économiques et sociales;DCG;21;7.0;3
Arts,Sciences de la vie et de la terre;Licence Archéologie, Ethno, Préhistoire, Anthropologie;7;4.0;0
Arts,Sciences de la vie et de la terre;Licence Arts;340;284.0;119
Arts,Sciences de la vie et de la terre;Licence Electronique, Génie électrique, EEA;0;0.0;0
Arts,Sciences de la vie et de la terre;Licence Géographie;17;15.0;2
Arts,Sciences de la vie et de la terre;Licence Histoire;117;110.0;31
Arts,Sciences de la vie et de la terre;Licence LEA;41;32.0;7
Arts,Sciences de la vie et de la terre;Licence MASS;1;1.0;1
Arts,Sciences de la vie et de la terre;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
Arts,Sciences de la vie et de la terre;Licence Philosophie, Epistémologie;14;12.0;1
Arts,Sciences de la vie et de la terre;Licence Pluri Lettres - Langues - Sciences humaines;7;6.0;1
Arts,Sciences de la vie et de la terre;Licence Sciences de la vie, biologie, santé;160;76.0;26
Arts,Sciences de la vie et de la terre;Licence Sciences religieuses;0;0.0;0
Arts,Sciences de la vie et de la terre;PASS;74;17.0;6
Arts,Sciences de la vie et de la terre;BUT Production;77;20.0;6
Arts,Sciences de la vie et de la terre;Ecoles de Commerce;5;4.0;3
Arts,Sciences de la vie et de la terre;D.E social;15;4.0;4
Arts,Sciences de la vie et de la terre;Ensemble des candidats bacheliers;816;733.0;569
Arts,Sciences de l'ingénieur;Licence Archéologie, Ethno, Préhistoire, Anthropologie;0;0.0;0
Arts,Sciences de l'ingénieur;Licence Génie civil;0;0.0;0
Arts,Sciences de l'ingénieur;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
Arts,Sciences de l'ingénieur;Licence Physique et chimie;0;0.0;0
Arts,Sciences de l'ingénieur;Licence Pluri Lettres - Langues - Sciences humaines;0;0.0;0
Arts,Sciences de l'ingénieur;Licence Pluri Sciences fondamentales et applications;0;0.0;0
